,Category,Congress,District,Member,Party,Reason,Resignation Date,Source
546,B,63rd,IL-04,James McDermott,D,"Implicated in lobbying scandal, resigned to avoid expulsion ",7/21/1914,Sacramento Union
547,I,63rd,MO-12,L.C. Dyer,R,His election was successfully contested & overturned,6/19/1914,U.S. Congress
548,C,63rd,AL-03,Henry Clayton,D,Appointed federal judge,5/25/1914,U.S. Congress
549,C,63rd,MA-12,James Michael Curley,D,Elected Boston mayor,2/4/1914,U.S. Congress
550,C,63rd,NY-20,Francis Harrison,D,Appointed Philippines governor,9/1/1913,U.S. Congress
551,C,63rd,WV-01,John W. Davis,D,Appointed to Wilson administration,8/29/1913,U.S. Congress
552,I,63rd,MI-12,Olin Young,R,Turned out votes were miscounted & he didn't win election,5/16/1913,Congressional Record
553,C,63rd,TX-10,Albert Burleson,D,Appointed to Wilson administration,3/6/1913,U.S. Congress
554,C,62nd,MA-12,John Weeks,R,Elected U.S. senator,3/4/1913,U.S. Congress
555,C,62nd,TX-01,Morris Sheppard,D,Elected U.S. senator,2/3/1913,U.S. Congress
556,C,62nd,AR-06,Joe T. Robinson,D,Elected Arkansas governor,1/14/1913,U.S. Congress
557,C,62nd,OH-03,James Cox,D,Elected Ohio governor,1/12/1913,U.S. Congress
558,C,62nd,ND-AL,L.B. Hanna,R,Elected North Dakota governor,1/7/1913,U.S. Congress
559,F & G,62nd,TX-SEN,Joseph Bailey,D,Retired; left early in disgust at election of progressive Wilson,1/3/1913,"""Joe Bailey, the Last Democrat"" (p. 316)"
560,C,62nd,NY-10,Bill Sulzer,D,Elected New York governor,12/31/1912,U.S. Congress
561,I,62nd,PA-11,Charles Bowman,R,His election was successfully contested & overturned,12/12/1912,U.S. Congress
562,C,62nd,NJ-06,William Hughes,D,Appointed New Jersey judge,9/27/1912,U.S. Congress
563,I,62nd,MO-11,Theron Catlin,R,His election was successfully contested & overturned,8/12/1912,U.S. Congress
564,I,62nd,IL-SEN,William Lorimer,R,Election declared invalid,7/13/1912,U.S. Senate
565,E,62nd,GA-SEN,Joseph Terrell,D,Had a stroke,7/14/1911,University of Georgia
566,C,62nd,IA-09,Walter Smith,R,Appointed federal judge,3/15/1911,U.S. Congress
567,C,61st,ND-AL,Asle Gronna,R,Elected U.S. senator,2/2/1911,U.S. Congress
568,C,61st,PA-19,John Reynolds,R,Elected Pennsylvania lieutenant governor,1/17/1911,U.S. Congress
569,C,61st,PA-24,John Tener,R,Elected Pennsylvania governor,1/16/1911,U.S. Congress
570,C,61st,MA-14,Eugene Foss,D,Elected Massachusetts governor,1/4/1911,U.S. Congress
571,C,61st,TX-03,Gordon Russell,D,Appointed federal judge,6/14/1910,U.S. Congress
572,E & F,61st,ND-SEN,Fountain Thompson,D,Ill health but was suspected to be political maneuvering,1/31/1910,Bismarck Tribune
573,C,61st,IL-06,William Lorimer,R,Elected U.S. senator,6/17/1909,U.S. Congress
574,C,60th,OH-21,Theodore Burton,R,Elected U.S. senator,3/4/1909,U.S. Congress
575,C,60th,PA-SEN,Philander Knox,R,Appointed to Taft administration,3/4/1909,U.S. Congress
576,C,60th,NC-05,William Kitchin,D,Elected North Carolina governor,1/11/1909,U.S. Congress
577,C,60th,CT-AL,George Lilley,R,Seat vacated when he became Connecticut governor,1/6/1909,U.S. Congress
578,C,60th,PA-12,Charles Brumm,R,Elected Pennsylvania judge,1/4/1909,U.S. Congress
579,D,60th,ME-02,Charles Littlefield,R,Returned to his law practice,9/30/1908,San Francisco Call
580,D,60th,WI-SEN,John Spooner,R,Resumed practicing law,4/30/1907,Sacramento Union
581,C,60th,PA-02,John Reyburn,R,Elected Philadelphia mayor,3/31/1907,U.S. Congress
582,C,59th,MI-05,William Alden Smith,R,Elected U.S. senator,2/9/1907,U.S. Congress
583,C,59th,KS-01,Charles Curtis,R,Elected U.S. senator,1/28/1907,U.S. Congress
584,C,59th,AR-04,John Little,D,Elected Arkansas governor,1/14/1907,U.S. Congress
585,C,59th,IN-12,Newton Gilbert,R,Appointed federal judge,11/6/1906,U.S. Congress
586,C,59th,TN-10,Malcolm Patterson,D,Elected Tennessee governor,11/5/1906,U.S. Congress
587,C,59th,CA-01,James Gillett,R,Elected California governor,11/4/1906,U.S. Congress
588,C & F,59th,NY-08,Tim Sullivan,D,Bored with Congress; returned to exercise boss power in NY & run for State Senate in 1908,7/27/1906,Brooklyn Daily Eagle
589,I,59th,MO-12,Ernest Wood,D,His election was successfully contested & overturned,6/23/1906,U.S. Congress
590,B,59th,KS-SEN,Joseph Burton,R,Convicted of corruption,6/4/1906,U.S. Senate
591,C,59th,VA-05,Claude Swanson,D,Elected Virginia governor,1/30/1906,U.S. Congress
592,C,59th,CT-03,Frank Brandegee,R,Elected U.S. senator,5/10/1905,U.S. Congress
593,C,59th,WV-02,Alston Dayton,R,Appointed federal judge,3/16/1905,U.S. Congress
594,C,58th,NE-01,Elmer Burkett,R,Elected U.S. senator,3/4/1905,U.S. Congress
595,C,58th,IN-SEN,Charles Fairbanks,R,Elected vice president,3/3/1905,U.S. Congress
596,C,58th,IN-01,James Hemenway,R,Elected U.S. senator,3/3/1905,U.S. Congress
597,C,58th,CA-03,Victor Metcalf,R,Appointed to Roosevelt administration,7/1/1904,U.S. Congress
598,C,58th,NJ-04,William Lanning,R,Appointed federal judge,6/6/1904,U.S. Congress
599,C,58th,OH-19,Charles Dick,R,Elected U.S. senator,3/23/1904,U.S. Congress
600,I,58th,CO-01,John Shafroth,D,Agreed that his opponent had rightfully won the election,2/15/1904,U.S. Congress
601,I,58th,PA-11,George Howell,D,His election was successfully contested & overturned,2/10/1904,U.S. Congress
602,C,58th,NY-12,George McClellan Jr.,D,Elected New York City mayor,12/21/1903,U.S. Congress
603,D,58th,TX-08,Thomas Ball,D,Resumed practicing law,11/16/1903,Texas State Historical Association
604,E,58th,OH-16,Joseph Gill,R,Ill health,10/31/1903,New York Times
605,C,57th,KS-07,Chester Long,R,Elected U.S. senator,3/4/1903,U.S. Congress
606,C,57th,DE-AL,Heisler Ball,R,Elected U.S. senator,3/3/1903,U.S. Congress
607,I,57th,MO-12,James Butler,D,His election was successfully contested & overturned,2/26/1903,U.S. Congress
608,C,57th,TX-08,S.W.T. Lanham,D,Elected Texas governor,1/15/1903,U.S. Congress
609,C,57th,PA-28,James Hall,D,Elected to PA State Senate,11/29/1902,U.S. Congress
610,C,57th,NY-26,George Ray,R,Appointed federal judge,9/11/1902,U.S. Congress
611,I,57th,MO-12,James Butler,D,Election declared invalid,6/28/1902,U.S. Congress
612,C,57th,MA-06,William Moody,R,Appointed to Roosevelt administration,5/1/1902,U.S. Congress
613,I,57th,KY-03,John Rhea,D,His election was successfully contested & overturned,3/25/1902,U.S. Congress
614,E,57th,NY-07,Nicholas Muller,D,Ill health,11/22/1901,New York Times
